Index,src,snk
0,18,98
1,13,34
2,96,88
3,53,68
4,7,59
5,37,96
6,90,20
7,53,24
8,15,99
9,40,54
10,99,38
11,71,20
12,15,60
13,93,78
14,47,23
15,83,16
16,97,28
17,4,69
18,34,48
19,65,75
20,56,0
21,71,73
22,64,79
23,4,19
24,52,75
25,19,62
26,71,49
27,78,3
28,58,75
29,65,31
30,90,71
31,46,0
32,32,65
33,32,76
34,35,86
35,12,5
36,63,20
37,97,47
38,85,20
39,83,82
40,61,27
41,44,80
42,3,59
43,93,18
44,28,15
45,84,10
46,34,85
47,49,37
48,84,15
49,33,54
50,48,68
51,62,78
52,44,98
53,10,36
54,4,41
55,19,12
56,1,0
57,53,19
58,45,62
59,35,73
60,88,79
61,50,78
62,91,9
63,34,30
64,52,97
65,48,74
66,47,88
67,12,72
68,21,43
69,69,94
70,0,44
71,62,38
72,43,93
73,29,54
74,27,87
75,10,46
76,83,74
77,4,49
78,90,85
79,9,3
80,65,54
81,77,41
82,62,28
83,87,2
84,27,37
85,7,32
86,34,96
87,22,80
88,48,83
89,56,22
90,22,83
91,95,24
92,50,36
93,66,71
94,71,80
95,89,70
96,39,16
97,45,34
98,96,67
99,19,17
100,45,83
101,65,53
102,0,86
103,13,46
104,63,95
105,57,5
106,18,35
107,79,94
108,71,64
109,47,35
110,10,53
111,22,61
112,54,96
113,68,84
114,48,75
115,47,22
116,78,36
117,78,42
118,15,90
119,21,25
120,40,15
121,17,14
122,34,50
123,64,20
124,73,77
125,52,3
126,40,15
127,40,12
128,85,38
129,13,55
130,88,0
131,92,28
132,56,54
133,70,83
134,50,16
135,83,55
136,22,8
137,90,24
138,71,38
139,52,5
140,56,22
141,15,5
142,52,11
143,49,3
144,92,57
145,75,36
146,73,6
147,40,58
148,99,17
149,3,48
150,37,81
151,87,64
152,25,60
153,47,82
154,7,52
155,15,87
156,39,5
157,81,63
158,42,57
159,4,61
160,50,58
161,88,96
162,31,86
163,17,21
164,35,31
165,85,7
166,62,54
167,87,74
168,79,29
169,31,34
170,89,10
171,50,40
172,68,34
173,0,7
174,5,3
175,84,40
176,19,90
177,42,51
178,52,93
179,69,24
180,5,63
181,30,87
182,53,76
183,15,95
184,65,37
185,13,69
186,1,9
187,5,58
188,92,85
189,96,67
190,0,83
191,41,40
192,79,96
193,56,29
194,96,76
195,21,97
196,86,89
197,25,26
198,31,13
199,40,4
200,0,45
201,18,70
202,69,23
203,23,80
204,84,96
205,48,90
206,9,10
207,19,70
208,33,85
209,0,74
210,81,78
211,34,29
212,88,56
213,27,17
214,81,35
215,43,44
216,71,95
217,51,20
218,88,4
219,15,39
220,46,32
221,85,88
222,3,50
223,48,93
224,0,43
225,84,66
226,33,0
227,97,35
228,85,76
229,24,99
230,44,53
231,49,7
232,25,51
233,33,58
234,43,10
235,50,30
236,57,55
237,56,73
238,49,63
239,19,46
240,13,19
241,87,77
242,46,4
243,23,89
244,72,27
245,4,32
246,53,51
247,3,82
248,63,28
249,24,93
250,91,45
251,6,21
252,41,1
253,25,21
254,75,79
255,22,6
256,8,86
257,40,62
258,99,88
259,45,78
260,22,82
261,51,96
262,11,5
263,56,68
