OMS,omsId,remoteOmsId,src,snk,cost,distance,ots,osnr,slice,colors
OMS,4526,4537,0,1,100001,100,1,0.000776,6250,:0-960
OMS,4520,4534,0,1,100001,100,1,0.000776,6250,:0-960
OMS,4521,4635,0,11,100001,100,1,0.000776,6250,
OMS,4522,4618,0,10,100001,100,1,0.000776,6250,:0-960
OMS,4537,4526,1,0,100001,100,1,0.000776,6250,:0-960
OMS,4536,4547,1,2,100001,100,1,0.000776,6250,:0-960
OMS,4534,4520,1,0,100001,100,1,0.000776,6250,:0-960
OMS,4530,4544,1,2,100001,100,1,0.000776,6250,:0-960
OMS,4531,4645,1,12,100001,100,1,0.000776,6250,
OMS,4532,4628,1,11,100001,100,1,0.000776,6250,
OMS,4533,4619,1,10,100001,100,1,0.000776,6250,:0-960
OMS,4547,4536,2,1,100001,100,1,0.000776,6250,:0-960
OMS,4546,4557,2,3,100001,100,1,0.000776,6250,:0-960
OMS,4544,4530,2,1,100001,100,1,0.000776,6250,:0-960
OMS,4540,4554,2,3,100001,100,1,0.000776,6250,:0-960
OMS,4541,4655,2,13,100001,100,1,0.000776,6250,
OMS,4542,4638,2,12,100001,100,1,0.000776,6250,
OMS,4543,4629,2,11,100001,100,1,0.000776,6250,:0-960
OMS,4557,4546,3,2,100001,100,1,0.000776,6250,:0-960
OMS,4556,4567,3,4,100001,100,1,0.000776,6250,:0-960
OMS,4554,4540,3,2,100001,100,1,0.000776,6250,:0-960
OMS,4550,4564,3,4,100001,100,1,0.000776,6250,:0-960
OMS,4551,4665,3,14,100001,100,1,0.000776,6250,
OMS,4552,4648,3,13,100001,100,1,0.000776,6250,
OMS,4553,4639,3,12,100001,100,1,0.000776,6250,:0-960
OMS,4567,4556,4,3,100001,100,1,0.000776,6250,:0-960
OMS,4566,4577,4,5,100001,100,1,0.000776,6250,:0-960
OMS,4564,4550,4,3,100001,100,1,0.000776,6250,:0-960
OMS,4560,4574,4,5,100001,100,1,0.000776,6250,:0-960
OMS,4561,4675,4,15,100001,100,1,0.000776,6250,
OMS,4562,4658,4,14,100001,100,1,0.000776,6250,
OMS,4563,4649,4,13,100001,100,1,0.000776,6250,:0-960
OMS,4577,4566,5,4,100001,100,1,0.000776,6250,:0-960
OMS,4576,4587,5,6,100001,100,1,0.000776,6250,:0-960
OMS,4574,4560,5,4,100001,100,1,0.000776,6250,:0-960
OMS,4570,4584,5,6,100001,100,1,0.000776,6250,:0-960
OMS,4571,4685,5,16,100001,100,1,0.000776,6250,
OMS,4572,4668,5,15,100001,100,1,0.000776,6250,
OMS,4573,4659,5,14,100001,100,1,0.000776,6250,:0-960
OMS,4587,4576,6,5,100001,100,1,0.000776,6250,:0-960
OMS,4586,4597,6,7,100001,100,1,0.000776,6250,:0-960
OMS,4584,4570,6,5,100001,100,1,0.000776,6250,:0-960
OMS,4580,4594,6,7,100001,100,1,0.000776,6250,:0-960
OMS,4581,4695,6,17,100001,100,1,0.000776,6250,
OMS,4582,4678,6,16,100001,100,1,0.000776,6250,
OMS,4583,4669,6,15,100001,100,1,0.000776,6250,:0-960
OMS,4597,4586,7,6,100001,100,1,0.000776,6250,:0-960
OMS,4596,4607,7,8,100001,100,1,0.000776,6250,:0-960
OMS,4594,4580,7,6,100001,100,1,0.000776,6250,:0-960
OMS,4590,4604,7,8,100001,100,1,0.000776,6250,:0-960
OMS,4591,4705,7,18,100001,100,1,0.000776,6250,
OMS,4592,4688,7,17,100001,100,1,0.000776,6250,
OMS,4593,4679,7,16,100001,100,1,0.000776,6250,:0-960
OMS,4607,4596,8,7,100001,100,1,0.000776,6250,:0-960
OMS,4606,4617,8,9,100001,100,1,0.000776,6250,:0-960
OMS,4604,4590,8,7,100001,100,1,0.000776,6250,:0-960
OMS,4600,4614,8,9,100001,100,1,0.000776,6250,:0-960
OMS,4601,4715,8,19,100001,100,1,0.000776,6250,
OMS,4602,4698,8,18,100001,100,1,0.000776,6250,
OMS,4603,4689,8,17,100001,100,1,0.000776,6250,:0-960
OMS,4617,4606,9,8,100001,100,1,0.000776,6250,:0-960
OMS,4614,4600,9,8,100001,100,1,0.000776,6250,:0-960
OMS,4609,1521,9,1360,1,100,1,0.000776,6250,:0-964
OMS,4612,4708,9,19,100001,100,1,0.000776,6250,
OMS,4613,4699,9,18,100001,100,1,0.000776,6250,:0-960
OMS,4626,4637,10,11,100001,100,1,0.000776,6250,:0-960
OMS,4619,4533,10,1,100001,100,1,0.000776,6250,:0-960
OMS,4618,4522,10,0,100001,100,1,0.000776,6250,:0-960
OMS,4620,4634,10,11,100001,100,1,0.000776,6250,:0-960
OMS,4621,4735,10,21,100001,100,1,0.000776,6250,
OMS,4622,4718,10,20,100001,100,1,0.000776,6250,:0-960
OMS,4637,4626,11,10,100001,100,1,0.000776,6250,:0-960
OMS,4636,4647,11,12,100001,100,1,0.000776,6250,:0-960
OMS,4635,4521,11,0,100001,100,1,0.000776,6250,
OMS,4634,4620,11,10,100001,100,1,0.000776,6250,:0-960
OMS,4629,4543,11,2,100001,100,1,0.000776,6250,:0-960
