OMS,omsId,remoteOmsId,src,snk,cost,distance,ots,osnr,slice,colors,sorted_omsId,sorted_remoteOmsId
OMS,4526,4537,0,1,100001,100,1,0.000776,6250,:0-960,4526,4537
OMS,4521,4635,0,11,100001,100,1,0.000776,6250,,4521,4635
OMS,4522,4618,0,10,100001,100,1,0.000776,6250,:0-960,4522,4618
OMS,4536,4547,1,2,100001,100,1,0.000776,6250,:0-960,4536,4547
OMS,4531,4645,1,12,100001,100,1,0.000776,6250,,4531,4645
OMS,4532,4628,1,11,100001,100,1,0.000776,6250,,4532,4628
OMS,4533,4619,1,10,100001,100,1,0.000776,6250,:0-960,4533,4619
OMS,4546,4557,2,3,100001,100,1,0.000776,6250,:0-960,4546,4557
OMS,4541,4655,2,13,100001,100,1,0.000776,6250,,4541,4655
OMS,4542,4638,2,12,100001,100,1,0.000776,6250,,4542,4638
OMS,4543,4629,2,11,100001,100,1,0.000776,6250,:0-960,4543,4629
OMS,4556,4567,3,4,100001,100,1,0.000776,6250,:0-960,4556,4567
OMS,4551,4665,3,14,100001,100,1,0.000776,6250,,4551,4665
OMS,4552,4648,3,13,100001,100,1,0.000776,6250,,4552,4648
OMS,4553,4639,3,12,100001,100,1,0.000776,6250,:0-960,4553,4639
OMS,4566,4577,4,5,100001,100,1,0.000776,6250,:0-960,4566,4577
OMS,4561,4675,4,15,100001,100,1,0.000776,6250,,4561,4675
OMS,4562,4658,4,14,100001,100,1,0.000776,6250,,4562,4658
OMS,4563,4649,4,13,100001,100,1,0.000776,6250,:0-960,4563,4649
OMS,4576,4587,5,6,100001,100,1,0.000776,6250,:0-960,4576,4587
OMS,4571,4685,5,16,100001,100,1,0.000776,6250,,4571,4685
OMS,4572,4668,5,15,100001,100,1,0.000776,6250,,4572,4668
OMS,4573,4659,5,14,100001,100,1,0.000776,6250,:0-960,4573,4659
OMS,4586,4597,6,7,100001,100,1,0.000776,6250,:0-960,4586,4597
OMS,4581,4695,6,17,100001,100,1,0.000776,6250,,4581,4695
OMS,4582,4678,6,16,100001,100,1,0.000776,6250,,4582,4678
OMS,4583,4669,6,15,100001,100,1,0.000776,6250,:0-960,4583,4669
OMS,4596,4607,7,8,100001,100,1,0.000776,6250,:0-960,4596,4607
OMS,4591,4705,7,18,100001,100,1,0.000776,6250,,4591,4705
OMS,4592,4688,7,17,100001,100,1,0.000776,6250,,4592,4688
OMS,4593,4679,7,16,100001,100,1,0.000776,6250,:0-960,4593,4679
OMS,4606,4617,8,9,100001,100,1,0.000776,6250,:0-960,4606,4617
OMS,4601,4715,8,19,100001,100,1,0.000776,6250,,4601,4715
OMS,4602,4698,8,18,100001,100,1,0.000776,6250,,4602,4698
OMS,4603,4689,8,17,100001,100,1,0.000776,6250,:0-960,4603,4689
OMS,4609,1521,9,1360,1,100,1,0.000776,6250,:0-964,1521,4609
OMS,4612,4708,9,19,100001,100,1,0.000776,6250,,4612,4708
OMS,4613,4699,9,18,100001,100,1,0.000776,6250,:0-960,4613,4699
OMS,4626,4637,10,11,100001,100,1,0.000776,6250,:0-960,4626,4637
OMS,4621,4735,10,21,100001,100,1,0.000776,6250,,4621,4735
OMS,4622,4718,10,20,100001,100,1,0.000776,6250,:0-960,4622,4718
OMS,4636,4647,11,12,100001,100,1,0.000776,6250,:0-960,4636,4647
