RELAY,relayId,relatedRelayId,nodeId,localId,relatedLocalId,dimColors
RELAY,43771,43772,4,2572,2316,:0-960
RELAY,43772,43771,4,2316,2572,:0-960
RELAY,43773,43774,4,2572,2316,:0-960
RELAY,43774,43773,4,2316,2572,:0-960
RELAY,43775,43776,4,2572,2316,:0-960
RELAY,43776,43775,4,2316,2572,:0-960
RELAY,43777,43778,4,2572,2316,:0-960
RELAY,43778,43777,4,2316,2572,:0-960
RELAY,43779,43780,4,2572,2316,:0-960
RELAY,43780,43779,4,2316,2572,:0-960
RELAY,43781,43782,4,2572,2316,:0-960
RELAY,43782,43781,4,2316,2572,:0-960
RELAY,43783,43784,4,2572,2316,:0-960
RELAY,43784,43783,4,2316,2572,:0-960
RELAY,43785,43786,4,2572,2316,:0-960
RELAY,43786,43785,4,2316,2572,:0-960
RELAY,43787,43788,4,2572,2316,:0-960
RELAY,43788,43787,4,2316,2572,:0-960
RELAY,43789,43790,4,2572,2316,:0-960
RELAY,43790,43789,4,2316,2572,:0-960
RELAY,43791,43792,4,2572,2316,:0-960
RELAY,43792,43791,4,2316,2572,:0-960
RELAY,43793,43794,4,2572,2316,:0-960
RELAY,43794,43793,4,2316,2572,:0-960
RELAY,43795,43796,4,2572,2316,:0-960
RELAY,43796,43795,4,2316,2572,:0-960
RELAY,43797,43798,4,2572,2316,:0-960
RELAY,43798,43797,4,2316,2572,:0-960
RELAY,43799,43800,4,2572,2316,:0-960
RELAY,43800,43799,4,2316,2572,:0-960
RELAY,43801,43802,4,2572,2316,:0-960
RELAY,43802,43801,4,2316,2572,:0-960
RELAY,43803,43804,4,2572,2316,:0-960
RELAY,43804,43803,4,2316,2572,:0-960
RELAY,43805,43806,4,2572,2316,:0-960
RELAY,43806,43805,4,2316,2572,:0-960
RELAY,43807,43808,4,2572,2316,:0-960
RELAY,43808,43807,4,2316,2572,:0-960
RELAY,43809,43810,4,2572,2316,:0-960
RELAY,43810,43809,4,2316,2572,:0-960
RELAY,43811,43812,4,2572,2316,:0-960
RELAY,43812,43811,4,2316,2572,:0-960
RELAY,43813,43814,4,2572,2316,:0-960
RELAY,43814,43813,4,2316,2572,:0-960
RELAY,43815,43816,4,2572,2316,:0-960
RELAY,43816,43815,4,2316,2572,:0-960
RELAY,43817,43818,4,2572,2316,:0-960
RELAY,43818,43817,4,2316,2572,:0-960
RELAY,44321,44322,14,2572,2316,:0-960
RELAY,44322,44321,14,2316,2572,:0-960
RELAY,44323,44324,14,2572,2316,:0-960
RELAY,44324,44323,14,2316,2572,:0-960
RELAY,44325,44326,14,2572,2316,:0-960
RELAY,44326,44325,14,2316,2572,:0-960
RELAY,44327,44328,14,2572,2316,:0-960
RELAY,44328,44327,14,2316,2572,:0-960
RELAY,44329,44330,14,2572,2316,:0-960
RELAY,44330,44329,14,2316,2572,:0-960
RELAY,44331,44332,14,2572,2316,:0-960
RELAY,44332,44331,14,2316,2572,:0-960
RELAY,44333,44334,14,2572,2316,:0-960
RELAY,44334,44333,14,2316,2572,:0-960
RELAY,44335,44336,14,2572,2316,:0-960
RELAY,44336,44335,14,2316,2572,:0-960
RELAY,44337,44338,14,2572,2316,:0-960
RELAY,44338,44337,14,2316,2572,:0-960
RELAY,44339,44340,14,2572,2316,:0-960
RELAY,44340,44339,14,2316,2572,:0-960
RELAY,44341,44342,14,2572,2316,:0-960
RELAY,44342,44341,14,2316,2572,:0-960
RELAY,44343,44344,14,2572,2316,:0-960
RELAY,44344,44343,14,2316,2572,:0-960
RELAY,44345,44346,14,2572,2316,:0-960
RELAY,44346,44345,14,2316,2572,:0-960
RELAY,44347,44348,14,2572,2316,:0-960
RELAY,44348,44347,14,2316,2572,:0-960
RELAY,44349,44350,14,2572,2316,:0-960
RELAY,44350,44349,14,2316,2572,:0-960
RELAY,44351,44352,14,2572,2316,:0-960
RELAY,44352,44351,14,2316,2572,:0-960
RELAY,44353,44354,14,2572,2316,:0-960
RELAY,44354,44353,14,2316,2572,:0-960
RELAY,44355,44356,14,2572,2316,:0-960
RELAY,44356,44355,14,2316,2572,:0-960
RELAY,44357,44358,14,2572,2316,:0-960
RELAY,44358,44357,14,2316,2572,:0-960
RELAY,44359,44360,14,2572,2316,:0-960
RELAY,44360,44359,14,2316,2572,:0-960
RELAY,44361,44362,14,2572,2316,:0-960
RELAY,44362,44361,14,2316,2572,:0-960
RELAY,44363,44364,14,2572,2316,:0-960
RELAY,44364,44363,14,2316,2572,:0-960
RELAY,44365,44366,14,2572,2316,:0-960
RELAY,44366,44365,14,2316,2572,:0-960
RELAY,44367,44368,14,2572,2316,:0-960
RELAY,44368,44367,14,2316,2572,:0-960
RELAY,43878,43879,5,2572,2316,:0-960
RELAY,43879,43878,5,2316,2572,:0-960
RELAY,43880,43881,5,2572,2316,:0-960
RELAY,43881,43880,5,2316,2572,:0-960
RELAY,43882,43883,5,2572,2316,:0-960
RELAY,43883,43882,5,2316,2572,:0-960
RELAY,43884,43885,5,2572,2316,:0-960
RELAY,43885,43884,5,2316,2572,:0-960
RELAY,43886,43887,5,2572,2316,:0-960
RELAY,43887,43886,5,2316,2572,:0-960
RELAY,43888,43889,5,2572,2316,:0-960
RELAY,43889,43888,5,2316,2572,:0-960
RELAY,43890,43891,5,2572,2316,:0-960
