Index,src,snk
0,84,92
1,44,30
2,69,72
3,19,61
4,52,5
5,86,84
6,47,63
7,20,95
8,80,78
9,66,79
10,88,31
11,3,76
12,87,45
13,7,28
14,7,98
15,88,60
16,9,55
17,47,70
18,78,93
19,35,59
20,39,51
21,98,28
22,78,52
23,32,49
24,35,97
25,57,80
26,41,70
27,94,83
28,71,79
29,35,47
30,60,83
31,75,25
32,86,48
33,27,55
34,95,92
35,20,54
36,47,22
37,35,96
38,4,22
39,78,72
40,25,89
41,85,4
42,39,26
43,75,11
44,78,70
45,98,28
46,24,35
47,14,5
48,29,39
49,15,84
50,54,51
51,41,14
52,63,10
53,21,56
54,75,56
55,63,48
56,73,98
57,91,17
58,96,36
59,45,96
60,16,17
61,72,4
62,90,39
63,17,20
64,72,92
65,36,57
66,93,53
67,28,57
68,49,14
69,69,27
70,11,97
71,39,69
72,17,3
73,96,82
74,54,65
75,91,67
76,11,58
77,12,20
78,31,25
79,23,47
80,17,65
81,39,30
82,2,43
83,75,6
84,65,78
85,96,11
86,69,46
87,71,36
88,15,64
89,27,39
90,21,0
91,39,92
92,11,60
93,4,66
94,50,51
95,65,24
96,10,80
97,57,5
98,27,21
99,82,94
100,2,25
101,86,89
102,55,85
103,35,32
104,7,93
105,88,75
106,57,82
107,27,2
108,18,14
109,42,5
110,27,94
111,13,54
112,70,81
113,3,90
114,78,57
115,27,54
116,71,18
117,28,55
118,20,33
119,16,48
120,57,90
121,4,8
122,39,75
123,56,88
124,54,46
125,53,4
126,52,67
127,59,26
128,62,25
129,36,12
130,65,74
131,39,60
132,78,20
133,87,8
134,25,8
135,65,79
136,17,86
137,91,31
138,88,44
139,9,31
140,24,43
141,98,2
142,9,32
143,3,55
144,56,73
145,16,3
146,56,1
147,46,55
148,25,18
149,24,52
150,8,74
151,36,2
152,37,69
153,97,49
154,16,67
155,37,64
156,43,56
157,45,6
158,11,33
159,19,68
160,35,61
161,18,49
162,49,94
163,2,63
164,21,9
165,2,98
166,11,93
167,71,48
168,86,87
169,86,78
170,10,57
171,67,5
172,42,10
173,35,16
174,36,3
175,44,66
176,65,53
177,65,30
178,88,70
179,18,93
180,35,50
181,47,35
182,50,66
183,89,27
184,20,24
185,7,42
186,8,72
187,81,63
188,29,57
189,58,8
190,13,39
191,92,77
192,81,57
193,35,25
194,7,82
195,28,48
196,85,90
197,63,77
198,30,94
199,29,92
200,18,52
201,36,4
202,89,45
203,62,40
204,63,6
205,44,0
206,20,87
207,80,96
208,56,86
209,33,4
210,95,76
211,44,34
212,91,81
213,81,29
214,16,50
215,44,84
216,35,65
217,27,70
218,3,17
219,63,48
220,69,10
221,49,35
222,14,35
223,27,69
224,93,59
225,94,59
226,9,23
227,80,35
228,44,92
229,86,14
230,59,97
231,63,19
232,69,95
233,1,88
234,6,22
235,35,34
236,2,43
237,11,68
238,27,11
239,62,72
240,46,20
241,31,98
242,16,20
243,13,41
244,79,33
245,56,73
246,39,81
247,62,60
248,2,18
249,63,8
250,49,83
251,69,53
252,73,82
253,15,63
254,25,1
255,44,69
256,11,77
257,34,58
258,80,40
259,36,56
260,20,46
261,37,63
262,44,74
263,28,40
264,61,18
265,35,31
