src,snk,cost,distance,ots,osnr,colors
0,2,8.53034943220814,14.306129268590196,2,0.000143320539888564,:0-40:48-88:104-168:176-224:240-304:312-424:432-472:488-568:576-584:592-600:608-656:672-696:720-728:736-776:784-792:800-816:832-848:856-944:952-968
0,9,5.84055103468117,27.67099903186786,3,0.00014686109521827597,:8-152:160-176:184-200:216-328:336-352:368-400:408-512:520-552:560-600:608-664:672-712:720-752:776-800:816-824:840-880:896-920:928-952:960-968
0,11,1.3517193378353165,10.907127514430769,1,4.745151268869032e-05,:0-16:32-40:48-64:72-104:112-120:128-192:200-224:232-240:248-312:320-336:344-464:480-504:512-528:544-584:592-640:648-696:712-720:728-752:760-848:856-936:952-968
0,18,2.858201182611868,11.687068430856685,1,7.906766287789132e-05,:8-40:48-80:88-104:112-120:128-232:240-328:344-440:448-496:504-520:528-544:568-576:584-608:616-688:696-712:720-736:744-752:760-792:800-808:816-840:848-856:864-880:888-968
1,5,1.3575562457761126,18.963684840116496,2,5.487194453250784e-05,:0-32:48-80:88-120:128-168:176-184:192-200:208-288:312-336:360-368:376-384:392-448:456-472:480-544:552-592:600-616:624-632:640-792:800-840:848-888:896-912:920-968
1,14,2.4447911517646723,15.331281142157659,2,0.00013328562092488055,:0-72:80-88:96-136:144-160:176-184:200-216:224-248:256-296:304-328:336-392:400-416:424-456:464-480:488-592:600-608:616-664:672-728:736-768:776-808:816-832:840-888:904-912:920-968
1,16,3.6329105666205663,14.849250217301265,2,0.00010076615481002826,:0-32:40-72:80-184:192-256:264-288:296-320:328-344:352-360:368-440:448-488:496-504:512-672:680-728:736-744:752-768:776-792:800-808:816-824:832-864:904-928:944-968
1,18,9.535554399472531,7.265268387659403,1,9.655028853406408e-05,:8-40:48-160:176-200:208-280:288-336:344-448:480-488:496-536:552-568:576-632:640-696:704-712:720-728:736-800:808-840:848-872:904-968
2,11,4.838735175415102,13.984740901366948,2,8.653122281347911e-05,:0-40:48-64:72-80:88-128:136-176:200-208:216-232:240-280:288-384:392-416:424-432:440-480:488-528:536-632:640-656:664-688:696-712:720-744:752-760:768-856:864-896:904-912:928-968
2,15,6.487881609511781,20.44103672537493,2,2.9017947705212368e-05,:0-48:56-80:88-120:128-176:184-232:240-272:288-368:376-384:392-432:440-480:496-592:600-616:624-632:640-664:688-760:784-800:808-872:888-960
2,16,6.924308608894228,8.400021841986085,1,9.889685260341354e-05,:24-32:48-88:96-120:128-208:216-304:312-344:352-360:368-392:400-456:464-512:520-528:536-584:592-688:696-712:720-728:744-760:768-784:792-824:840-912:920-968
3,6,7.932723519950721,13.477076307358981,1,8.577606386027468e-05,:0-72:80-88:96-120:128-152:160-208:216-256:264-288:304-344:352-392:416-424:432-504:512-544:552-568:576-608:616-640:648-760:768-776:784-808:824-856:864-872:880-920:928-968
3,11,2.722987543638519,11.378059310512343,1,0.00011288186737973186,:0-56:72-152:160-184:192-248:256-280:288-328:336-400:408-432:448-456:464-520:536-624:632-648:656-664:680-704:712-752:760-824:848-864:872-888:896-936:944-968
3,15,6.3385237953478715,20.91779721178293,2,0.00011357102908707455,:0-48:64-72:80-120:136-208:216-232:240-248:256-272:280-312:320-336:344-368:376-384:392-408:416-424:432-544:560-576:584-592:600-632:640-648:656-664:672-736:744-760:768-792:800-968
4,5,8.480311981738867,22.52093964107229,3,0.00016224820104946804,:0-32:40-64:72-88:96-184:200-256:264-272:280-336:344-392:400-416:440-456:464-472:480-504:512-528:536-576:584-592:608-640:648-664:672-808:816-896:904-912:920-952:960-968
4,19,1.5592037130032987,29.904262418362883,3,0.00021006694237710335,:0-8:24-32:40-120:128-144:152-192:200-248:264-272:280-408:416-488:496-512:520-544:552-584:592-624:632-640:656-696:704-712:720-728:736-744:752-792:816-896:904-968
5,18,7.042313923583227,20.004392027066746,2,0.00017949136610423264,:0-32:40-128:136-200:208-216:232-240:256-288:296-304:312-416:432-464:472-480:488-528:544-568:576-608:616-728:736-744:752-800:816-824:840-904:912-920:928-968
5,19,9.101909254100562,21.563203952960176,3,0.00013670699345781908,:0-40:48-72:80-104:112-136:144-184:192-216:232-256:264-312:320-392:400-448:456-504:520-552:560-608:616-760:768-776:784-800:808-824:832-856:872-896:904-944
6,9,3.083216688871958,21.734021224730995,3,0.00013413546731071268,:8-32:40-80:88-160:168-184:192-256:280-360:368-400:408-424:432-536:544-568:576-584:592-616:640-704:712-816:832-840:848-856:872-888:896-904:912-968
7,14,0.4337052322785018,55.72336380942169,0,0.00022001347780336604,:0-88:96-104:120-168:184-248:272-280:288-368:376-384:392-408:416-496:504-592:600-632:640-664:672-704:720-752:760-792:800-888:896-904:912-920:936-960
7,17,0.6021144128608991,53.30726938257696,6,0.0003277546233038607,:0-104:120-232:240-256:264-272:280-336:344-352:368-392:400-432:440-528:536-544:552-680:688-696:712-744:776-792:800-808:816-824:832-840:848-880:888-944:952-968
8,12,8.504147625904409,21.621244544919694,2,0.00012268675535387054,:0-64:72-96:104-120:128-152:168-240:248-256:264-288:296-368:376-384:392-416:424-472:504-512:536-608:616-640:648-664:672-792:800-824:832-872:880-904:912-968
8,13,0.6952713679929756,16.648482078552956,2,0.00021033638491442565,:8-16:24-112:120-152:168-224:240-264:272-288:296-304:312-328:336-344:352-368:376-384:392-504:512-520:528-584:592-600:616-656:664-816:824-872:880-896:904-920:928-936:944-968
8,15,4.394623928579936,25.121627673310634,3,0.00013257297823208048,:0-24:32-48:56-72:80-128:136-192:200-208:216-240:248-312:328-408:416-480:488-496:504-528:536-568:576-608:616-640:648-656:664-680:688-712:728-736:744-784:792-800:808-880:888-928:936-968
8,17,5.220997638206695,21.49890950196225,2,7.407824649659301e-05,:0-16:32-88:96-128:152-160:168-280:288-296:304-320:328-344:360-376:392-456:464-488:496-528:544-608:616-648:656-768:784-800:808-832:840-848:856-968
9,10,3.8486610120769416,21.26148629555038,3,7.56873884951322e-05,:0-24:32-40:48-88:96-112:120-144:152-160:168-176:184-200:208-232:240-272:280-288:296-336:344-368:376-480:488-496:512-520:536-552:560-584:592-624:640-656:664-712:720-864:872-968
10,19,9.472483232936181,12.24099822382049,1,6.332037060695047e-05,:8-64:72-80:104-112:120-176:184-200:208-216:224-312:320-344:352-448:456-464:480-568:576-592:616-632:640-656:664-864:872-880:888-896:904-920:928-952:960-968
11,15,5.6785530918142415,19.70243551624487,2,7.240516260109538e-05,:0-56:64-88:96-160:168-200:224-240:248-264:280-320:328-336:344-360:368-384:392-512:520-576:584-656:680-720:744-768:776-856:872-904:912-968
12,15,3.8359658752477497,19.859022700138176,2,0.00013012593175787472,:0-48:56-64:72-128:136-168:176-224:232-248:264-312:328-360:376-392:400-408:416-560:584-608:616-720:728-760:768-792:800-840:848-864:872-928:936-952
12,17,3.885901612962165,10.195016080728413,1,0.00010704869901769449,:0-24:32-40:48-56:64-96:104-184:192-240:248-304:312-344:352-408:416-424:440-480:488-496:504-528:536-568:576-608:616-640:648-664:672-688:704-760:768-800:808-824:832-872:880-920:928-968
13,15,0.7369598066099092,20.913672638710537,3,0.00015778750471792476,:0-8:16-48:56-88:96-104:112-160:176-184:192-200:208-224:232-240:248-264:272-344:352-424:432-440:448-616:624-664:672-688:696-736:744-776:784-808:816-832:840-848:856-880:896-904:912-968
14,16,5.28727078252065,16.72185891076738,2,0.0001805116205933042,:0-88:96-104:112-176:192-224:232-240:248-280:296-304:312-320:328-360:368-376:384-448:456-528:536-568:576-584:592-600:608-624:632-696:704-744:752-768:776-800:808-816:824-896:904-920:928-968
16,18,6.0864489847861005,16.331325566721155,2,0.00010606343063281049,:0-104:112-128:136-144:152-224:232-264:272-296:304-328:336-344:352-448:464-472:480-512:520-544:552-624:632-664:672-696:712-720:736-816:848-864:872-896:904-968
