Index,src,snk
0,144,287
1,370,87
2,81,206
3,365,117
4,167,352
5,296,72
6,345,360
7,11,308
8,148,1
9,320,77
10,224,254
11,212,222
12,125,184
13,196,35
14,188,86
15,380,360
16,296,291
17,90,40
18,211,372
19,246,49
20,81,207
21,306,218
22,109,70
23,76,156
24,361,307
25,301,146
26,342,116
27,279,393
28,313,181
29,342,334
30,118,10
31,397,56
32,291,218
33,223,163
34,219,4
35,325,259
36,80,332
37,82,2
38,126,315
39,360,54
40,240,181
41,372,186
42,81,189
43,323,277
44,44,226
45,202,360
46,240,225
47,313,121
48,304,296
49,319,116
50,342,293
51,164,234
52,169,16
53,244,254
54,138,250
55,370,167
56,232,56
57,270,243
58,259,382
59,178,238
60,87,225
61,206,314
62,93,130
63,124,321
64,51,103
65,278,116
66,259,143
67,383,50
68,399,290
69,216,14
70,220,191
71,93,253
72,378,65
73,233,391
74,268,373
75,377,364
76,116,63
77,317,77
78,296,315
79,48,90
80,243,179
81,287,144
82,136,324
83,271,266
84,322,266
85,398,395
86,178,232
87,319,221
88,73,56
89,108,381
90,273,320
91,350,70
92,164,392
93,159,388
94,310,28
95,136,367
96,167,134
97,320,324
98,266,210
99,241,161
100,60,178
101,65,237
102,374,132
103,161,263
104,152,120
105,360,5
106,103,239
107,3,173
108,230,155
109,17,43
110,94,367
111,172,92
112,306,162
113,92,19
114,25,216
115,7,274
116,25,90
117,4,164
118,364,85
119,84,395
120,118,139
121,123,290
122,244,103
123,3,246
124,216,26
125,80,4
126,150,1
127,162,329
128,53,309
129,322,58
130,207,50
131,204,189
132,328,399
133,293,336
134,58,327
135,306,383
136,342,187
137,60,307
138,182,271
139,87,135
140,296,371
141,46,158
142,387,250
143,221,152
144,62,137
145,146,397
146,26,93
147,22,41
148,52,10
149,90,50
150,350,203
151,10,51
152,62,290
153,350,353
154,272,390
155,368,3
156,203,395
157,127,94
158,30,87
159,99,1
160,380,140
161,6,32
162,304,245
163,398,37
164,184,8
165,90,192
166,274,204
167,171,212
168,236,159
169,195,22
170,371,24
171,313,13
172,86,71
173,269,35
174,38,150
175,25,320
176,315,260
177,274,335
178,180,253
179,211,44
180,294,239
181,25,171
182,221,380
183,3,250
184,240,3
185,59,352
186,7,19
187,129,349
188,220,302
189,294,63
190,122,312
191,367,352
192,361,186
193,283,241
194,106,357
195,328,193
196,218,36
197,215,256
198,85,40
199,294,82
200,320,43
201,284,44
202,155,22
203,190,114
204,15,234
205,35,333
206,215,65
207,269,153
208,252,216
209,113,369
210,304,65
211,395,68
212,338,132
213,123,65
214,377,373
215,369,239
216,328,23
217,271,264
218,349,211
219,229,223
220,181,334
221,17,326
222,166,226
223,61,48
224,358,159
225,378,134
226,165,101
227,294,78
228,352,52
229,89,136
230,114,262
231,240,15
232,141,239
233,149,95
234,273,51
235,201,151
236,351,300
237,323,396
238,137,206
239,144,122
240,55,319
241,368,303
242,75,329
243,249,253
244,36,97
245,133,237
246,381,168
247,226,392
248,80,11
249,284,135
250,32,69
251,89,303
252,41,204
253,84,266
254,197,221
255,264,255
256,314,82
257,371,184
258,244,167
259,150,334
260,123,127
261,141,357
262,378,254
263,203,45
264,183,107
265,26,72
266,41,173
267,126,25
268,325,230
269,267,114
270,383,183
271,350,273
272,128,10
273,245,274
274,148,273
275,87,91
276,77,173
277,58,308
278,244,73
279,176,239
280,371,145
281,319,328
282,70,168
283,296,137
284,315,189
285,341,113
286,281,266
287,294,18
288,126,260
289,378,169
290,333,127
291,320,362
292,172,152
293,178,96
294,87,221
295,4,142
296,19,351
297,259,142
298,296,185
299,160,386
300,135,374
301,179,69
302,228,133
303,143,291
304,380,376
305,89,158
306,362,107
307,20,69
308,27,376
309,147,41
310,245,294
311,7,219
312,37,191
313,370,43
314,384,372
315,254,363
316,179,190
317,372,332
318,160,296
319,80,213
320,369,160
321,111,135
322,296,388
323,221,261
324,191,359
325,370,95
326,360,166
327,200,202
328,336,65
329,159,373
330,188,47
331,90,70
332,382,293
333,102,261
334,356,370
335,13,339
336,245,194
337,250,216
338,179,219
339,9,356
340,0,290
341,332,186
342,226,55
343,6,271
344,44,87
345,327,31
346,350,278
347,148,250
348,332,271
349,269,143
350,293,68
351,287,224
352,142,283
353,99,5
354,397,129
355,241,75
356,308,109
357,381,97
358,1,188
359,384,341
360,94,212
361,336,310
362,297,14
363,95,360
364,346,267
365,318,351
366,134,247
367,294,96
368,327,112
369,152,208
370,150,212
371,377,397
372,266,237
373,48,50
374,196,392
375,362,203
376,327,308
377,170,218
378,98,154
379,95,46
380,183,199
381,75,261
382,338,357
383,155,271
384,124,232
385,233,326
386,322,314
387,161,144
388,328,158
389,94,82
390,268,200
391,269,276
392,398,371
393,375,119
394,141,385
395,179,232
396,392,204
397,80,41
398,306,348
399,145,103
400,392,289
401,277,34
402,384,369
403,360,204
404,278,172
405,196,17
406,30,365
407,207,95
408,31,97
409,138,49
410,338,389
411,106,103
412,52,198
413,76,394
414,254,75
415,191,112
416,63,171
417,399,75
418,83,254
419,179,106
420,22,365
421,268,362
422,336,100
423,138,230
424,73,301
425,292,353
426,0,45
